Actif,Type,Vendor,Product,Version,Update,Edition,Langage,sw_edition,target_sw,target_hw,other
Exemple,OS,Microsoft,Windows vista,6.0,sp1,,,home premium,,x64,
BRL008,Hardware,HP,Elitebook 840 G,,,,,,,,
BRL008,OS,Microsoft,Windows 10 professionnel,,,,,,,,
BRL008,Software,7-Zip,7-Zip,19.00,,,,,,,
BRL008,Software,google,chrome,90.0.4430.212,,,,,,,
BRL008,Software,Microsoft,Edge,90.0.818.66,,,,,,,
BRL008,Software,Microsoft,office,2019,,,,,,,
BRL008,Software,Microsoft,OneDrive,21.073.0411.0002,,,,,,,
BRL008,Software,Microsoft,Store,12104.1001.0.0,,,,,,,
BRL008,Software,Symantec,Norton 360,22.21.3.48,,,,,,,
BRL008,Software,Oracle,VirtualBox,6.1.12,,,,,,,
BRL008,Software,Putty,Putty,0.74.0.0,,,,,,,
BRL008,Software,Skype,Skype,,,,,,,,
BRL008,Software,Vmware,Workstation,15.5.6,,,,,,,
BRS004,OS,Microsoft,Windows 2016 server DataCenter,10.0.14393 ,,,,DataCenter,,x64,Hyper-V
BRS003,OS,Microsoft,Windows 2016 server DataCenter,10.0.14393 ,,,,DataCenter,,x64,Hyper-V
BRS005,OS,Microsoft,Windows 2016 server DataCenter,10.0.14393 ,,,,DataCenter,,x64,Hyper-V
BRS005,OS,Linux,Ubuntu,20.04,,,,,,x64,
BRL004,OS,Microsoft,Windows 10 professionnel,10.0.19042,,,,,,x64,
BRL004,Software,google,chrome,90.0.4430.212,,,,,,,
BRL004,Software,Symantec,Norton 360,22.21.3.48,,,,,,,
BRL004,Software,Tenable Network Security,Nessus,3.2.1,,,,,,,
BRL004,Software,Dominik Reichl,Keepass,2.47,,,,,,,
BRL004,Software, Pacestar Software,LanFlow,6.0,,,,,,,
BRL004,Software,Microsoft,EDge,91.0.864.37,,,,,,,
BRL004,Software,Nmap Project,Nmap,7.91,,,,,,,
BRL004,Software,Nmap Project,Npcap,1.10,,,,,,,
BRL004,Software,Martin Prikryl,WinSCP,5.17.10,,,,,,,
BRL004,Software,The Wireshark developer community,WireShark,3.4.5,,,,,,,
BRL004,Software,Microsoft,Microsoft VC++ redistributables repacked,12.0.0.0,,,,,,,
BRL004,Software,Microsoft,Microsoft Visual C++ 2013 x86 Minimum Runtime,12.0.21005,,,,,,x86,
BRL004,Software,Microsoft,Microsoft Visual C++ 2010  x86 Redistributable,10.0.30319,,,,,,x86,
BRL004,Software,Stormshield,Stormshield SSL VPN Client,2.8.0,,,,,,,
BRL004,Software,Microsoft,Microsoft Visual C++ 2019 X86 Minimum Runtime,14.24.28127,,,,,,x86,
BRL004,Software,Microsoft,Microsoft Visual C++ 2008 Redistributable,9.0.30729.6161,,,,,,x86,
BRL004,Software,"VMware, Inc.",VMware Horizon Client,8.0.0.13243,,,,,,,
BRL004,Software,Adobe Systems Incorporated,Adobe Refresh Manager,1.8.0,,,,,,,
BRL004,Software,Adobe Systems Incorporated,Adobe Acrobat Reader DC,21.001.20155,,,,,,,
BRL004,Software,Microsoft,Microsoft Visual C++ 2015-2019 Redistributable (x86),14.24.28127.4,,,,,,x86,
BRL004,Software,Microsoft,Microsoft Visual C++ 2019 X86 Additional Runtime,14.24.28127,,,,,,x86,
BRL004,Software,Microsoft,Microsoft Visual C++ 2013 x86 Additional Runtime,12.0.21005,,,,,,x86,
BRN001,OS,Stormshield,Stormshield,3.11.6,,,,,,,
BRN002,OS,Forcepoint,Forcepoint,6.8.5,,,,,,,
BRN003,OS,Cisco,IOS XE Software,16.09.04,,,,,,,
BRN005,OS,Cisco,WAP150-wap23ae40,1.1.2.4,,,,,,,
